Istante campionamento	Sonda temperatura [°C]	Fotoresistore [lx]	Temperature [°C]	Relative Humidity [RH%]
2015-04-30 16:51:00	22,75	366	22,40	54
2015-04-30 16:52:00	22,75	368	22,40	54
2015-04-30 16:53:00	22,69	364	22,40	54
2015-04-30 16:54:00	22,69	359	22,40	54
2015-04-30 16:55:00	22,69	362	22,40	54
2015-04-30 16:56:02	22,75	355	22,40	53
2015-04-30 16:57:00	22,75	356	22,40	54
2015-04-30 16:58:00	22,75	353	22,40	54
2015-04-30 16:59:00	22,75	350	22,40	54
2015-04-30 17:00:02	22,75	350	22,50	54
2015-04-30 17:01:00	22,81	346	22,40	54
2015-04-30 17:02:04	22,75	341	22,50	53
2015-04-30 17:03:00	22,75	334	22,50	53
2015-04-30 17:04:03	22,75	395	11,20	3304
2015-04-30 17:05:00	22,75	408	22,40	52
2015-04-30 17:06:00	22,69	414	22,40	53
2015-04-30 17:07:07	22,75	418	22,50	54
2015-04-30 17:08:00	22,81	426	22,50	54
2015-04-30 17:09:05	22,81	433	22,50	53
2015-04-30 17:10:00	22,81	438	22,50	53
2015-04-30 17:11:03	22,81	436	22,50	52
2015-04-30 17:12:03	22,81	440	22,50	53
2015-04-30 17:13:00	22,81	436	22,60	53
2015-04-30 17:14:05	22,88	438	22,60	53
2015-04-30 17:15:00	22,81	434	22,60	53
2015-04-30 17:16:05	22,88	436	22,60	53
2015-04-30 17:17:00	22,88	418	22,60	53
2015-04-30 17:18:02	22,94	438	22,70	53
2015-04-30 17:19:00	22,94	433	22,60	53
2015-04-30 17:20:00	23,00	420	22,70	53
2015-04-30 17:21:05	22,94	441	22,50	53
2015-04-30 17:22:00	22,88	454	22,50	53
2015-04-30 17:23:00	22,88	460	22,60	53
2015-04-30 17:24:00	22,88	451	22,50	53
2015-04-30 17:25:00	22,94	451	22,50	53
2015-04-30 17:26:05	22,94	454	22,50	53
2015-04-30 17:27:00	22,94	454	22,50	53
2015-04-30 17:28:02	22,94	471	22,50	53
2015-04-30 17:29:00	22,94	442	22,50	53
2015-04-30 17:30:03	22,94	440	22,50	53
2015-04-30 17:31:04	22,81	467	22,40	53
2015-04-30 17:32:00	22,88	455	22,40	53
2015-04-30 17:33:00	22,81	444	22,40	53
2015-04-30 17:34:00	22,88	431	22,40	54
2015-04-30 17:35:00	22,81	420	22,40	53
2015-04-30 17:36:00	22,81	420	22,40	54
2015-04-30 17:37:00	22,88	442	22,40	54
2015-04-30 17:38:09	22,88	429	22,40	54
2015-04-30 17:39:05	22,88	423	22,40	54
2015-04-30 17:40:00	22,81	305	22,40	54
2015-04-30 17:41:04	22,88	430	22,40	54
2015-04-30 17:42:05	22,81	424	22,40	54
2015-04-30 17:43:00	22,88	444	22,40	54
2015-04-30 17:44:00	22,94	447	22,50	54
2015-04-30 17:45:00	22,88	443	22,50	53
2015-04-30 17:46:00	22,88	468	22,50	53
2015-04-30 17:47:00	22,94	467	22,40	53
2015-04-30 17:48:03	22,94	463	22,50	53
2015-04-30 17:49:00	22,94	466	22,50	54
2015-04-30 17:50:00	22,94	424	22,50	54
2015-04-30 17:51:00	23,00	447	22,50	53
2015-04-30 17:52:00	22,94	440	22,50	54
2015-04-30 17:53:00	22,94	449	22,50	53
2015-04-30 17:54:05	22,94	452	22,50	53
2015-04-30 17:55:00	22,94	445	22,60	53
2015-04-30 17:56:00	23,00	446	22,60	53
2015-04-30 17:57:00	23,00	449	22,60	53
2015-04-30 17:58:00	23,00	447	22,60	53
2015-04-30 17:59:00	23,00	420	22,60	53
2015-04-30 18:00:00	23,06	422	22,70	52
2015-04-30 18:01:00	22,94	422	22,70	53
2015-04-30 18:02:00	23,00	426	22,70	53
2015-04-30 18:03:00	23,00	436	22,70	52
2015-04-30 18:04:00	22,94	435	22,70	53
2015-04-30 18:05:00	23,00	433	22,60	53
2015-04-30 18:06:00	23,00	430	22,60	53
2015-04-30 18:07:00	23,00	430	22,70	53
2015-04-30 18:08:05	23,00	425	22,70	53
2015-04-30 18:09:07	23,00	435	22,70	53
2015-04-30 18:10:00	23,00	432	22,70	52
2015-04-30 18:11:09	22,94	432	22,60	53
2015-04-30 18:12:05	23,00	430	22,60	53
2015-04-30 18:13:05	22,88	430	22,70	53
2015-04-30 18:14:00	22,88	430	22,60	53
2015-04-30 18:15:00	23,00	429	22,60	53
2015-04-30 18:16:00	22,94	435	22,60	53
2015-04-30 18:17:05	22,94	431	22,60	53
2015-04-30 18:18:00	23,00	436	22,60	53
2015-04-30 18:19:00	22,94	427	22,60	53
2015-04-30 18:20:07	22,94	429	22,60	53
2015-04-30 18:21:00	22,94	433	22,60	53
2015-04-30 18:22:00	22,94	431	22,70	53
2015-04-30 18:23:00	22,94	430	22,60	53
2015-04-30 18:24:00	22,88	430	22,50	53
2015-04-30 18:25:07	22,94	430	22,50	54
2015-04-30 18:26:09	22,88	430	22,50	54
2015-04-30 18:27:00	22,88	423	22,50	54
2015-04-30 18:28:00	22,88	424	22,50	54
2015-04-30 18:29:00	22,88	426	22,50	53
2015-04-30 18:30:03	22,88	416	22,50	54
2015-04-30 18:31:00	22,81	429	22,40	54
